spec,loc,num,aspect_ratio,hue_mean,redness_purity,brightness_mean,brown_dominance,color_cov,red_intensity,red_coverage,eye_cloudiness,shine_coverage,shine_intensity,body_color_b,species
BANG,CFM,62,0.247101449,177.49,139.34,81.05,0,0.1562,-0.0315,0,0.9497,0.0599,239,3.3211,0
BANG,CFM,63,0.274705581,178.23,158.79,80.43,0,0.0983,-0.0866,0,0.9138,0.0423,230.35,7.0283,0
BANG,CFM,64,0.277537278,0.09,153.9,85.09,0.0072,0.208,0.0744,0,0.8691,0.0289,243.64,5.6266,0
BANG,CFM,65,0.237878788,0.18,115.56,99.69,0,0.2524,-0.033,0.0001,0.7967,0.0435,241.95,5.7069,0
BANG,NFP,1,0.226511496,174.88,150.41,16.31,0.0041,0.3827,0.0174,0,0.7736,0.1091,236.2,-0.449,0
BANG,NFP,2,0.269288502,0.19,165.11,55.37,0.0034,0.2732,0.0708,0,0.6212,0.1113,240.05,-0.5652,0
BANG,NFP,3,0.2599554,1.32,193.68,33.14,0.0251,0.2391,-0.0863,0,0.9986,0.1143,235.9,-2.0362,0
BANG,NFP,4,0.232951116,1.54,185.55,28.93,0.0053,0.2102,-0.0074,0,0.8617,0.1291,236.2,-3.7062,0
BANG,NFP,5,0.248868778,4.35,154.31,37.89,0.0856,0.3471,0.0323,0,0.8702,0.1375,237.32,-1.9232,0
BANG,NFP,6,0.319927427,4.25,155.72,34.12,0.039,0.3398,-0.0062,0,0.8477,0.1441,236.38,-5.5153,0
BANG,NFP,7,0.259890859,179.39,192.6,48.43,0.007,0.2144,0.0281,0,0.817,0.1386,241.86,-1.4337,0
BANG,NFP,8,0.270186335,0,191.68,47.2,0.0036,0.2041,0.0865,0.0002,0.57,0.1512,235.09,2.7251,0
BANG,NFP,9,0.224513848,0.98,161.93,67.53,0.0169,0.2604,-0.0482,0.0028,0.8099,0.1403,235.72,2.5375,0
BANG,NFP,11,0.302864939,178.11,171.72,59.64,0.0017,0.2118,-0.0409,0,0.7064,0.1784,240.33,2.9389,0
BANG,NFP,12,0.230243902,0.66,159.49,70.9,0.0026,0.2545,-0.0566,0.0002,0.8869,0.1367,239.47,1.3121,0
BANG,NFP,13,0.250258532,0.01,164.79,64.95,0.002,0.2124,-0.1926,0.0011,0.9368,0.1679,237.53,-1.2695,0
BANG,NFP,14,0.283066554,1.12,150.29,80.53,0.0054,0.2479,0.0239,0,0.6651,0.0969,242.39,-4.4581,0
BANG,NFP,15,0.278308322,1.01,165.09,71.23,0.0112,0.2562,-0.0118,0,0.5995,0.1117,242.23,-4.1,0
BANG,NFP,16,0.26542122,0.69,151.56,80.05,0.0274,0.291,-0.1624,0,0.6087,0.1289,236.09,-4.2551,0
BANG,NFP,17,0.270378345,179.31,141.12,90.64,0.0005,0.2186,0.0778,0.0001,0.701,0.1574,235.23,-0.443,0
BANG,NFP,18,0.350399526,176.26,147.94,88.15,0.0002,0.2411,-0.1304,0,0.8069,0.1586,238.96,-0.4561,0
BANG,NFP,19,0.253216191,177.47,145.24,100.46,0,0.2187,-0.1367,0,0.8406,0.1907,239.19,-0.6752,0
BANG,NFP,20,0.256501951,178.78,170.35,71.04,0.0017,0.2294,-0.1721,0,0.8262,0.2208,242.25,-2.8471,0
BANG,NFP,21,0.299051117,177.36,152.27,83.84,0.0004,0.2377,-0.0564,0,0.7969,0.1722,238.33,-0.9972,0
BANG,NFP,22,0.268301479,0.04,188.56,81.94,0.0014,0.2373,-0.0362,0.0017,0.7422,0.1706,242.5,-2.8293,0
BANG,NFP,23,0.430907877,177.76,158.5,57.51,0.0032,0.2443,-0.03,0,0.7809,0.1519,241.18,-1.4497,0
BANG,NFP,24,0.281451861,176.62,166.74,65.01,0.0011,0.2305,-0.1421,0,0.7781,0.1668,232.62,-0.381,0
BANG,NFP,25,0.218232907,177.1,154.05,95.47,0.0008,0.2379,-0.0663,0.0015,0.8105,0.1672,237.86,0.8487,0
BANG,NFP,26,0.289639807,178.58,174.54,105.65,0.0002,0.2157,-0.0322,0.0005,0.7928,0.1467,243.7,-3.9311,0
BANG,NFP,27,0.366256222,178.19,144.11,70.02,0.0014,0.2032,0.0223,0,0.6946,0.1088,234.89,1.2224,0
BANG,NFP,28,0.326525591,177.07,132.2,80.87,0.0004,0.2304,0.0409,0,0.6573,0.1144,235.71,2.2551,0
BANG,NFP,30,0.320783133,0.6,145.65,94.12,0.0073,0.2356,0.0269,0,0.5516,0.0907,238.73,-0.476,0
BANG,NFP,31,0.279471545,0.44,150.71,97.31,0.002,0.1966,0.0554,0,0.6473,0.097,235.96,0.0925,0
BANG,PWM,1,0.293312678,3.54,136.39,88.94,0.1248,0.2761,-0.1053,0,0.891,0.1797,240.15,-4.2311,0
BANG,PWM,2,0.336045365,3.62,116.67,86.72,0.2809,0.2323,0.1456,0,0.8161,0.1508,239.1,-2.8193,0
BANG,PWM,3,0.294461382,3.05,110.18,81.03,0.1379,0.1966,0.1029,0,0.863,0.1389,238.38,-3.3937,0
BANG,PWM,4,0.345573441,7.07,117.47,67.05,0.2556,0.2383,0.0373,0,0.8446,0.1259,240.19,-5.0463,0
BANG,PWM,5,0.317091837,5.36,117.25,71.04,0.1651,0.2514,0.1261,0,0.856,0.1394,240.03,-2.3434,0
BANG,PWM,6,0.282306163,3.69,135.21,67.46,0.0638,0.1946,0.0999,0,0.8369,0.1015,240.03,-1.746,0
BANG,PWM,7,0.389278557,7.42,153.54,74.55,0.2436,0.1483,0.0295,0,0.657,0.0984,239.5,-0.3101,0
BANG,PWM,8,0.252485089,9.99,150.72,67.51,0.4753,0.2537,0.0121,0,0.7771,0.0945,239.89,-1.3563,0
BANG,PWM,9,0.245544554,5.68,117.48,108.09,0.0637,0.2453,0.0327,0,0.6761,0.1139,242.96,-0.9584,0
BANG,PWM,10,0.292708333,12.72,124.86,70.52,0.8041,0.2181,0.1229,0,0.7015,0.104,243.87,-1.2402,0
BANG,PWM,11,0.296906694,6.23,146.51,69.42,0.0876,0.1398,0.0526,0,0.7506,0.0415,232.6,-2.0581,0
BANG,PWM,12,0.246561886,3.23,150.01,73.81,0.0296,0.1923,-0.0861,0,0.8498,0.1166,242.85,-1.3104,0
BANG,PWM,13,0.305360721,3.37,155.73,85.26,0.0585,0.1801,-0.0034,0,0.8168,0.1335,241.81,-0.5026,0
BANG,PWM,14,0.30889662,12.7,122.45,84.7,0.8278,0.2172,0.0869,0,0.6744,0.1337,241.79,-1.2121,0
BANG,PWM,15,0.311878728,11.91,121.71,75.44,0.7245,0.2157,0.008,0,0.5086,0.081,241.28,-1.7852,0
BANG,PWM,16,0.266533066,6.24,144.09,70.31,0.2746,0.2525,0.101,0.0003,0.7746,0.1422,240.45,-2.0196,0
BANG,PWM,17,0.285823365,6.25,154.09,67.57,0.0305,0.2161,-0.0441,0,0.6973,0.0921,241.11,-2.2527,0
BANG,PWM,18,0.285996055,6.66,147.35,89.23,0.1851,0.2298,-0.0765,0,0.817,0.1189,242.4,-1.4799,0
BANG,PWM,19,0.237254902,10.94,148.21,102.72,0.7477,0.2539,0.2477,0.0025,0.6873,0.1269,238.94,-2.1393,0
