spec,loc,num,red_intensity,red_coverage,eye_cloudiness,shine_coverage,shine_intensity,body_color_b
TILA,BWM,22,0.1546,0.0061,1.1376,0.0123,219.08,-3.9052
TILA,BWM,23,0.2143,0.0076,1.2102,0.0131,228.87,-2.8801
TILA,BWM,24,0.112,0.005,0.8094,0.018,232.3,1.1032
TILA,BWM,25,0.2079,0.006,1.3088,0.0225,216.77,1.9809
TILA,BWM,26,0.1888,0.0045,0.993,0.0733,213.78,-3.0588
TILA,BWM,27,0.158,0.003,1.032,0.0584,211.98,-0.7127
TILA,BWM,28,0.2249,0.004,0.9738,0.0349,215.42,-1.5396
TILA,BWM,29,0.0398,0,1.2396,0.031,210.62,-2.234
TILA,BWM,30,0.2844,0.0097,1.277,0.0381,210.04,-4.1964
TILA,CFM,1,0.1433,0.0038,0.918,0.0152,219.2,2.274
TILA,CFM,2,0.1444,0.003,0.8304,0.0273,223.5,1.8314
TILA,CFM,3,0.2414,0.0016,1.0523,0.0231,218.03,-0.8212
TILA,CFM,4,0.0062,0,1.5445,0.0258,212.49,1.5945
TILA,CFM,5,0.2308,0.0062,1.0763,0.0252,235,-0.5587
TILA,CFM,6,0.3048,0.0086,1.0178,0.0178,225.57,-0.1176
TILA,CFM,7,0.1772,0.0041,1.2781,0.0128,222.41,-1.658
TILA,CFM,8,0.2892,0.0081,0.9968,0.0183,235.14,-3.0356
TILA,CFM,9,0.2179,0.0069,1.2707,0.0119,227.77,1.8057
TILA,CFM,10,0.1027,0.0015,1.081,0.0079,217.52,-0.5814
TILA,CFM,11,0.0935,0.0013,1.1762,0.0096,226.12,-3.6017
TILA,CFM,12,0.0972,0.0045,1.2522,0.0113,243.2,2.6487
TILA,CFM,13,0.1732,0.0067,1.022,0.0129,216.81,2.0611
TILA,CFM,14,0.1679,0.005,0.9828,0.0106,204.93,5.2531
TILA,CFM,15,0.2613,0.0098,0.9422,0.0064,225.72,2.3248
TILA,CFM,16,0.2913,0.009,1.1141,0.013,232.28,2.6943
TILA,CFM,17,0.258,0.0088,1.1922,0.0181,218.44,0.9106
TILA,CFM,18,0.1999,0.0065,0.8479,0.0136,233.63,2.5049
TILA,CFM,19,0.1393,0.0001,1.0855,0.0329,224.82,4.5047
TILA,CFM,20,0.2029,0.0085,0.9215,0.0181,232.77,2.6379
TILA,CFM,21,0.0376,0.0001,1.3768,0.0259,225.44,10.7389
TILA,CFM,22,0.003,0,1.1939,0.0235,221.09,8.3372
TILA,CFM,23,0.1354,0.0062,1.3996,0.0163,220.24,12.6021
TILA,CFM,24,0.1178,0.0054,1.3051,0.0275,216.12,2.9884
