spec,loc,num,aspect_ratio,hue_mean,redness_purity,brightness_mean,brown_dominance,color_cov,red_intensity,red_coverage,eye_cloudiness,shine_coverage,shine_intensity,body_color_b,gill_score,eye_score,body_score,rule_score,rule_quality
BANG,CFM,22,0.26791726791726794,179.87,147.99,98.73,0.0041,0.2321,0.0967,0.0,0.9662,0.069,229.67,0.7492,0.86,0.52,0.26,0.64,mid
BANG,CFM,23,0.28541337546076884,0.07,148.76,117.68,0.0005,0.2492,0.0917,0.0002,0.9095,0.0265,232.38,1.7123,0.86,0.55,0.17,0.63,mid
BANG,CFM,24,0.23376623376623376,178.46,151.05,84.07,0.0061,0.1906,0.1098,0.0,0.8863,0.0234,229.72,3.2467,0.85,0.57,0.1,0.62,mid
BANG,CFM,25,0.21406727828746178,1.95,140.76,107.66,0.0167,0.2928,0.1858,0.0031,0.8268,0.0146,237.63,-0.0953,0.78,0.23,0.27,0.51,mid
BANG,CFM,26,0.28121927236971483,175.7,145.58,114.78,0.0006,0.1864,0.0169,0.0,0.9435,0.0697,238.62,-4.2991,0.78,0.62,0.52,0.68,mid
BANG,CFM,27,0.3134083450539147,179.77,134.43,111.6,0.0097,0.2426,0.0178,0.0,0.9757,0.0653,236.91,-5.1503,0.81,0.6,0.5,0.68,mid
BANG,CFM,28,0.22685185185185186,177.95,128.86,101.37,0.0004,0.282,0.0543,0.0002,0.8675,0.0768,238.89,-2.3592,0.75,0.61,0.5,0.66,mid
BANG,CFM,29,0.2558416785884597,4.66,133.79,115.94,0.0046,0.2003,-0.0247,0.0,0.915,0.0639,234.03,-3.0887,0.73,0.68,0.4,0.65,mid
BANG,CFM,30,0.2565789473684211,179.09,135.17,104.17,0.0,0.2346,0.0277,0.0,1.0205,0.0318,234.54,-0.1258,0.81,0.56,0.26,0.63,mid
BANG,CFM,31,0.2423547400611621,178.44,140.88,55.68,0.0,0.1922,-0.0044,0.0,0.905,0.0112,227.91,9.5664,0.82,0.67,0.04,0.62,mid
BANG,CFM,32,0.21081349206349206,177.64,129.75,79.48,0.0,0.2243,0.0539,0.0017,0.9225,0.0444,234.62,6.6965,0.76,0.42,0.23,0.55,mid
BANG,CFM,33,0.24562887760857305,179.94,141.93,74.05,0.0501,0.1779,0.0125,0.0,1.0556,0.0079,232.59,7.1136,0.83,0.55,0.11,0.6,mid
BANG,CFM,34,0.2571225071225071,177.2,125.04,52.47,0.0,0.2026,0.0012,0.0,0.8817,0.045,232.22,10.6222,0.75,0.68,0.19,0.62,mid
BANG,CFM,35,0.2427802251590798,2.01,146.88,73.69,0.0,0.1439,0.0012,0.0,0.9431,0.0276,231.62,12.6618,0.84,0.64,0.14,0.64,mid
BANG,CFM,36,0.26395409494001043,178.86,153.5,70.28,0.0059,0.1572,-0.001,0.0,0.9835,0.0433,229.21,0.4032,0.87,0.61,0.19,0.66,mid
BANG,CFM,37,0.24522760646108663,178.24,156.49,71.97,0.0,0.1177,0.0751,0.0001,0.9938,0.0107,222.52,4.8394,0.87,0.52,0.0,0.59,mid
BANG,CFM,38,0.24844895657078397,179.38,145.31,76.21,0.0,0.2137,0.0876,0.0002,0.9171,0.0181,226.95,4.2942,0.85,0.55,0.04,0.6,mid
BANG,CFM,39,0.24857881136950905,177.37,132.94,85.02,0.0,0.1559,0.0732,0.0,0.9446,0.0328,225.93,4.9959,0.79,0.56,0.06,0.58,mid
BANG,CFM,40,0.26085858585858585,178.33,157.52,67.13,0.0,0.1375,-0.0068,0.0,0.9359,0.0201,234.62,2.2976,0.88,0.65,0.17,0.67,mid
BANG,CFM,41,0.22824947589098532,1.13,143.19,76.37,0.1268,0.211,-0.0185,0.0,0.8832,0.0761,236.23,8.5692,0.77,0.7,0.34,0.66,mid
BANG,CFM,42,0.26257861635220126,178.25,151.41,65.12,0.0,0.1252,-0.032,0.0,0.8327,0.087,236.5,6.9256,0.86,0.75,0.37,0.73,high
BANG,CFM,43,0.2987772461456672,179.89,151.66,68.27,0.0254,0.1037,0.019,0.0,0.9803,0.078,240.4,3.7273,0.88,0.59,0.41,0.7,mid
BANG,CFM,44,,,,,,,,,,,,,,,,,none
BANG,CFM,45,0.2810140237324703,179.14,132.88,64.17,0.0,0.1321,0.0226,0.0,0.9378,0.0914,237.24,7.0846,0.82,0.62,0.4,0.68,mid
BANG,CFM,46,0.23289545703338807,2.3,129.91,55.37,0.0965,0.2325,-0.0202,0.0,0.8424,0.0585,231.41,4.8617,0.72,0.73,0.22,0.62,mid
BANG,CFM,47,0.2626984126984127,179.45,166.4,52.62,0.0002,0.1026,-0.0366,0.0,0.8348,0.0472,236.94,2.0978,0.92,0.75,0.29,0.74,high
BANG,CFM,48,0.26529613313754286,179.42,181.53,50.0,0.0,0.1128,-0.0013,0.0,0.8388,0.0199,238.75,0.0662,0.96,0.71,0.29,0.75,high
BANG,CFM,49,0.3253623188405797,179.18,189.06,61.97,0.0,0.0912,-0.0387,0.0,0.8584,0.0219,229.88,4.8301,0.98,0.73,0.09,0.73,high
BANG,CFM,50,0.2728132387706856,178.73,190.5,65.67,0.0,0.1136,-0.024,0.0,0.8378,0.0501,232.86,-1.1793,0.97,0.73,0.3,0.76,high
BANG,CFM,51,0.24552730696798494,5.1,166.96,87.95,0.0082,0.1462,0.0128,0.0,0.9579,0.0013,237.48,-5.3939,0.83,0.61,0.38,0.67,mid
BANG,CFM,52,0.32075471698113206,0.75,156.53,63.83,0.0201,0.1534,0.1114,0.0004,0.8929,0.0343,224.81,-7.3517,0.88,0.52,0.29,0.65,mid
BANG,CFM,53,0.2518822724161533,2.05,151.88,75.48,0.0368,0.2286,0.0002,0.0,1.0142,0.0239,228.14,-4.1856,0.81,0.59,0.23,0.63,mid
BANG,CFM,54,0.3363774733637747,3.45,157.62,43.07,0.0,0.1453,0.0781,0.0001,0.876,0.0454,225.52,-3.5243,0.84,0.59,0.23,0.64,mid
BANG,CFM,55,0.25805675805675804,179.53,163.36,67.36,0.0002,0.1108,0.0251,0.0004,0.9737,0.008,230.64,-4.0255,0.92,0.55,0.23,0.67,mid
BANG,CFM,56,0.26395409494001043,1.34,176.28,53.9,0.0,0.086,0.0307,0.0001,0.8027,0.0124,226.03,0.7255,0.94,0.69,0.05,0.69,mid
BANG,CFM,57,0.1956845238095238,179.23,176.75,63.86,0.0001,0.103,-0.0245,0.0002,1.0123,0.0049,223.44,0.4964,0.95,0.59,0.05,0.66,mid
BANG,CFM,58,0.24332848131974769,0.67,147.54,80.45,0.0232,0.1228,0.0131,0.0,0.7064,0.0476,226.05,0.1561,0.86,0.79,0.15,0.7,mid
BANG,CFM,59,0.3251783893985729,1.92,170.6,77.8,0.0786,0.2097,0.005,0.0,0.7992,0.0187,231.6,1.1714,0.85,0.73,0.15,0.67,mid
BANG,CFM,60,0.24917955930614158,179.99,171.31,44.35,0.0,0.1173,0.0061,0.0,0.8943,0.0116,219.71,3.2593,0.95,0.66,0.0,0.67,mid
