spec,loc,num,hue_mean,redness_purity,brightness_mean,brown_dominance,color_cov,red_intensity,red_coverage,eye_cloudiness,shine_coverage,shine_intensity,body_color_b,gill_score,eye_score,body_score,rule_score,rule_quality
CARP,NFP,1,176.9,148.86,105.92,0.0062,0.2604,0.1834,0.0007,0.8291,0.0956,241.02,-7.9182,0.77,0.64,0.97,0.77,high
CARP,NFP,2,179.31,182.48,135.26,0.0023,0.2323,0.0412,0,0.7568,0.1353,231.91,-1.6853,0.93,0.84,0.75,0.87,high
CARP,NFP,3,2.87,158.73,150.65,0.042,0.2905,0.023,0,0.4378,0.1036,238.35,-0.7633,0.81,1,0.83,0.87,high
CARP,NFP,4,2.32,156.4,92.47,0.0027,0.2416,0.3932,0.01,0.7108,0.071,238.81,2.4573,0.83,0.42,0.6,0.66,mid
CARP,NFP,5,2.64,139.95,131.77,0.0966,0.3087,0.6415,0.0233,0.5731,0.0867,234.58,-1.0862,0.75,0.35,0.73,0.63,mid
CARP,NFP,6,0.91,152.22,118.62,0.0262,0.2712,0.0788,0,0.7225,0.0789,230.11,0.612,0.84,0.84,0.55,0.78,high
CARP,NFP,7,3.41,166.21,101.8,0.0135,0.2488,0.4081,0.0174,0.7831,0.0334,230.32,-1.5104,0.84,0.22,0.39,0.56,mid
CARP,NFP,8,1.76,137.89,112.93,0.052,0.2415,0.0784,0,0.6077,0.048,231.34,-3.6461,0.79,0.94,0.55,0.79,high
CARP,NFP,9,0.72,147.46,99.7,0.0134,0.3379,0.1743,0.0011,0.6889,0.0415,231.71,-1.7801,0.82,0.77,0.47,0.73,high
CARP,NFP,10,2.12,161.32,138.86,0.0541,0.3089,0.2782,0.0073,0.75,0.069,230.05,-1.8118,0.83,0.53,0.58,0.69,mid
CARP,NFP,11,178.55,131.73,118.09,0,0.2621,0.434,0.0184,0.6162,0.0369,230.92,1.631,0.77,0.34,0.31,0.55,mid
CARP,NFP,12,2.69,148.33,100.25,0.1047,0.3417,0.2854,0.0085,0.6552,0.0519,232.43,0.9267,0.76,0.59,0.44,0.64,mid
CARP,NFP,13,4.98,154.46,158.53,0.1586,0.2581,0.2907,0.0022,0.8005,0.0898,226.62,-1.9461,0.74,0.56,0.64,0.67,mid
CARP,NFP,14,2.81,147.8,119.3,0.0487,0.2895,0.1285,0.0001,0.7573,0.0678,232.5,0.4509,0.79,0.76,0.54,0.73,high
