spec,loc,num,red_intensity,red_coverage,eye_cloudiness,shine_coverage,shine_intensity,body_color_b
TILA,CFM,01,0.1433,0.0038,0.918,0.0097,233.45,2.274
TILA,CFM,02,0.1444,0.003,0.8304,0.0201,233.51,1.8314
TILA,CFM,03,0.2414,0.0016,1.0523,0.0139,234.06,-0.8212
TILA,CFM,04,0.0062,0.0,1.5445,0.0135,231.79,1.5945
TILA,CFM,05,0.2308,0.0062,1.0763,0.0207,242.66,-0.5587
TILA,CFM,06,0.3048,0.0086,1.0178,0.013,236.93,-0.1176
TILA,CFM,07,0.1772,0.0041,1.2781,0.0091,233.92,-1.658
TILA,CFM,08,0.2892,0.0081,0.9968,0.0149,244.15,-3.0356
TILA,CFM,09,0.2179,0.0069,1.2707,0.0099,233.27,1.8057
TILA,CFM,10,0.1027,0.0015,1.081,0.004,242.51,-0.5814
TILA,CFM,11,0.0935,0.0013,1.1762,0.0066,240.66,-3.6017
TILA,CFM,12,0.0972,0.0045,1.2522,0.0103,247.58,2.6487
TILA,CFM,13,0.1732,0.0067,1.022,0.0073,235.93,2.0611
TILA,CFM,14,0.1679,0.005,0.9828,0.0045,220.89,5.2531
TILA,CFM,15,0.2613,0.0098,0.9422,0.0044,239.72,2.3248
TILA,CFM,16,0.2913,0.009,1.1141,0.0101,243.23,2.6943
TILA,CFM,17,0.258,0.0088,1.1922,0.012,230.77,0.9106
TILA,CFM,18,0.1999,0.0065,0.8479,0.011,243.07,2.5049
TILA,CFM,19,0.1393,0.0001,1.0855,0.0252,234.58,4.5047
TILA,CFM,20,0.2029,0.0085,0.9215,0.015,240.8,2.6379
TILA,CFM,21,0.0376,0.0001,1.3768,0.0196,234.8,10.7389
TILA,CFM,22,0.003,0.0,1.1939,0.0166,232.45,8.3372
TILA,CFM,23,0.1354,0.0062,1.3996,0.0115,231.86,12.6021
TILA,CFM,24,0.1178,0.0054,1.3051,0.0183,227.52,2.9884
TILA,CFM,25,-0.0029,0.0007,1.5576,0.0189,231.24,7.2462
TILA,CFM,26,0.1492,0.0021,1.0124,0.0089,242.66,-3.9693
TILA,CFM,27,0.2398,0.0061,1.0466,0.011,242.24,-5.0658
TILA,CFM,28,0.1442,0.0034,1.0005,0.0069,238.86,-3.6388
TILA,CFM,29,0.0635,0.0001,1.6534,0.016,234.24,-0.5178
TILA,CFM,30,0.2,0.0057,1.3214,0.0084,237.05,-1.7135
TILA,NFP,01,-0.0283,0.0022,0.6104,0.0212,244.78,5.3632
TILA,NFP,02,0.0929,0.0028,0.7709,0.0129,240.95,3.7542
TILA,NFP,03,0.1108,0.0046,0.7053,0.019,240.56,5.6908
TILA,NFP,04,0.2035,0.003,0.8576,0.0061,229.6,-15.8254
TILA,NFP,05,0.3596,0.004,1.0571,0.0047,245.66,-16.5808
TILA,NFP,06,0.7691,0.0283,0.9546,0.0074,246.51,-27.303
TILA,NFP,07,0.1091,0.0,1.2822,0.0069,245.73,-11.0903
TILA,NFP,08,0.2558,0.0043,0.9392,0.0038,246.34,-16.5488
TILA,NFP,09,0.2667,0.0005,1.0398,0.0117,243.0,-17.0091
TILA,NFP,10,0.1118,0.0006,1.1007,0.0044,244.88,-16.7829
TILA,NFP,11,0.2365,0.002,0.7526,0.0037,229.15,-18.0075
TILA,NFP,12,0.4092,0.0008,1.2309,0.0021,238.97,-13.2208
TILA,NFP,13,0.7765,0.0323,0.8557,0.0048,232.42,-23.71
TILA,NFP,14,0.3919,0.0203,0.7284,0.0021,247.67,-25.7577
TILA,NFP,15,0.3292,0.0165,0.8267,0.0013,230.13,-22.1052
TILA,NFP,16,0.0313,0.0003,0.9274,0.0182,244.31,3.3138
TILA,NFP,17,0.1279,0.0018,0.8076,0.0174,238.63,3.4682
TILA,NFP,18,0.0144,0.001,0.9216,0.0157,244.61,4.2393
TILA,NFP,19,-0.0352,0.0029,0.7529,0.0182,243.6,2.0297
TILA,NFP,20,0.0353,0.0,0.7133,0.0213,243.36,3.916
TILA,NFP,21,0.2085,0.0034,0.72,0.0166,241.56,3.4805
TILA,NFP,22,-0.0203,0.0009,0.8569,0.0062,240.16,3.7949
TILA,NFP,23,0.1476,0.0056,0.6244,0.0082,240.22,4.2368
TILA,NFP,24,0.0703,0.0031,0.9877,0.0128,239.06,2.89
TILA,NFP,25,-0.0235,0.0011,0.6669,0.0124,239.94,2.7937
TILA,NFP,26,0.0323,0.0016,0.9229,0.007,243.41,2.6571
TILA,NFP,27,0.1106,0.0039,0.6633,0.0084,240.38,2.6908
TILA,NFP,28,0.0479,0.0011,0.8127,0.0097,243.11,2.2178
TILA,NFP,29,0.1265,0.0023,0.7295,0.007,242.46,3.0351
TILA,NFP,30,-0.028,0.0013,0.815,0.0122,243.64,3.5054
TILA,PWM,01,0.144,0.001,1.0075,0.0179,236.17,-1.5047
TILA,PWM,02,0.0632,0.002,1.1313,0.0055,234.87,-0.4455
TILA,PWM,03,0.2336,0.0,0.9859,0.0117,230.39,-1.7562
TILA,PWM,04,0.1067,0.0,0.7211,0.0071,229.24,-0.68
TILA,PWM,05,0.0269,0.0,1.0957,0.0118,235.82,-3.6588
TILA,PWM,06,0.0364,0.0014,1.1792,0.0082,230.33,-0.8071
TILA,PWM,07,0.1044,0.0014,0.5914,0.0105,232.17,1.2591
TILA,PWM,08,0.0544,0.0014,1.2323,0.0104,228.71,-0.9492
TILA,PWM,10,0.1888,0.0033,0.6172,0.0096,229.07,1.0206
TILA,PWM,11,0.0554,0.0,1.2066,0.011,230.29,-5.5635
TILA,PWM,12,0.0241,0.0006,1.5162,0.0081,235.31,-0.7484
TILA,PWM,13,0.0578,0.0024,0.9127,0.0072,234.59,-0.8647
TILA,PWM,14,0.1137,0.0047,1.1628,0.0054,230.26,-2.9606
TILA,PWM,15,0.1099,0.0013,1.1655,0.0079,232.32,0.8477
TILA,PWM,16,0.0433,0.0,1.396,0.0087,232.14,-1.2477
