filename,species,quality_label,image_path,red_intensity_lab_a_mean,red_coverage_lab_a_ratio,eye_L_mean,eye_cloudiness_ratio,laplacian_variance,sobel_gradient_mean,edge_density_canny,gray_std_dev,gray_entropy,local_contrast,lbp_texture_score,cloudy_pixel_ratio,mean_saturation,mean_value,saturation_std_dev,highlight_ratio,brightest_pixel_ratio,reflection_intensity,highlight_area_std,rgb_redness_ratio,lab_a_mean,lab_a_std,hsv_hue_mean,hsv_hue_std,red_channel_dominance,bgr_blue_ratio,eye_area,eye_perimeter,circularity,aspect_ratio,contour_compactness,otsu_threshold_value
TILA_PWM_49_eye.jpg,tilapia,unknown,dataset\tilapia\TILA_PWM_49_eye.jpg,0.083069,0.001099,3.189697,,196.005493,10.783853,0.011536,22.807608,0.385988,1.282239,948348.4375,0.000549,3.241882,3.472473,20.791838,1.0,0.0,3.001709,36.949291,0.012939,0.083069,0.751136,4.735168,23.584665,7.161017,0.018483,409.0,122.08326,0.344843,0.326087,36.440886,67.0
TILA_PWM_50_eye.jpg,tilapia,unknown,dataset\tilapia\TILA_PWM_50_eye.jpg,0.006409,0.000854,6.651245,,390.399414,15.778558,0.013184,34.618675,0.480578,1.907246,926086.5625,0.01062,3.430481,6.972229,20.559269,0.052368,0.000366,120.290207,12.029903,0.01692,0.006409,0.71211,5.043457,22.979801,11.342465,0.020832,647.5,116.669047,0.597776,0.395833,21.021879,91.0
TILA_PWM_51_eye.jpg,tilapia,unknown,dataset\tilapia\TILA_PWM_51_eye.jpg,0.006042,0.0,0.758423,,122.716675,4.320228,0.004395,11.920617,0.123256,0.526145,1012509.8125,0.000366,1.416321,0.866638,14.911186,1.0,6.1e-05,0.719604,36.949291,0.003839,0.006042,0.39547,1.519104,13.443259,7.541667,0.005877,106.5,48.727922,0.563642,0.380952,22.294933,62.0
TILA_PWM_53_eye.jpg,tilapia,unknown,dataset\tilapia\TILA_PWM_53_eye.jpg,0.291748,0.00946,4.742676,,427.827637,15.233322,0.012878,29.2619,0.421512,1.85103,941570.4375,0.002808,3.718384,5.283325,22.154457,1.0,0.0,4.493835,36.949291,0.016048,0.291748,2.222535,4.57135,23.585697,35.281483,0.018622,583.0,105.597979,0.657003,0.409091,19.126815,83.0
TILA_PWM_54_eye.jpg,tilapia,unknown,dataset\tilapia\TILA_PWM_54_eye.jpg,0.081116,0.003418,2.970215,,267.194702,8.999912,0.008057,21.562689,0.260563,1.118218,979341.5625,0.000671,2.033752,3.165771,16.456326,1.0,0.000122,2.797302,36.949291,0.009079,0.081116,1.084818,2.772705,18.196501,23.845589,0.01121,318.0,79.455844,0.632973,0.382353,19.852928,75.0
TILA_PWM_55_eye.jpg,tilapia,unknown,dataset\tilapia\TILA_PWM_55_eye.jpg,0.063477,0.002258,3.701904,,304.099365,13.082269,0.008911,29.088543,0.318005,1.539508,964827.3125,0.004883,2.645264,3.905029,19.105093,1.0,0.0,3.524109,36.949291,0.011787,0.063477,0.918492,2.467468,15.886566,21.026178,0.01366,174.5,70.526911,0.440855,0.625,28.504557,98.0
TILA_PWM_56_eye.jpg,tilapia,unknown,dataset\tilapia\TILA_PWM_56_eye.jpg,0.169006,0.006714,2.153748,,191.111328,9.641144,0.009583,19.229214,0.284718,1.138696,972429.8125,0.0,2.704529,2.447937,19.328945,1.0,0.0,2.038574,36.949291,0.010633,0.169006,1.541599,3.388672,21.183542,22.410257,0.012207,145.5,60.04163,0.507187,0.565217,24.776614,69.0
TILA_PWM_57_eye.jpg,tilapia,unknown,dataset\tilapia\TILA_PWM_57_eye.jpg,0.18103,0.007019,3.226135,,282.96521,11.364687,0.009888,23.355249,0.330833,1.35609,962390.5,0.002014,3.080444,3.559448,20.914358,1.0,0.000122,3.07312,36.949291,0.01282,0.18103,1.562599,2.705322,17.929453,23.281588,0.014088,124.0,57.455844,0.472023,0.736842,26.622371,81.0
TILA_PWM_58_eye.jpg,tilapia,unknown,dataset\tilapia\TILA_PWM_58_eye.jpg,0.128235,0.005188,2.478882,,184.957031,8.437571,0.007812,22.881231,0.263431,1.015815,978957.0,0.0,2.525208,2.792603,18.449892,1.0,0.0,2.323792,36.949291,0.009756,0.128235,1.349768,2.187134,15.927306,23.801802,0.011076,312.0,78.284271,0.639758,0.424242,19.642394,79.0
TILA_PWM_59_eye.jpg,tilapia,unknown,dataset\tilapia\TILA_PWM_59_eye.jpg,0.08844,0.004272,3.654724,,266.654785,12.294291,0.008057,26.966337,0.285057,1.433194,973428.125,0.005676,2.243469,3.889404,17.336752,1.0,0.0,3.503418,36.949291,0.010523,0.08844,1.208158,1.911072,13.821859,22.350428,0.011216,110.0,44.627417,0.694063,0.928571,18.105512,99.0
TILA_PWM_60_eye.jpg,tilapia,unknown,dataset\tilapia\TILA_PWM_60_eye.jpg,0.115356,0.005615,5.563843,,477.670654,15.166394,0.013,30.757952,0.441579,1.89687,936111.6875,0.00177,3.157593,5.882751,19.502493,1.0,0.000793,5.250244,36.949291,0.016142,0.115356,1.292396,3.625488,19.606918,23.489864,0.018163,597.5,111.012193,0.609265,0.382979,20.625451,84.0
TILA_PWM_61_eye.jpg,tilapia,unknown,dataset\tilapia\TILA_PWM_61_eye.jpg,0.095337,0.005188,7.006531,,364.514282,15.970786,0.016235,34.182449,0.524367,1.929586,914509.75,0.005066,3.190979,7.090698,21.449841,0.050171,6.1e-05,129.793182,10.552298,0.021337,0.095337,1.24042,4.627014,22.615904,12.213198,0.021777,688.5,144.811182,0.412581,0.411765,30.457921,81.0
TILA_PWM_62_eye.jpg,tilapia,unknown,dataset\tilapia\TILA_PWM_62_eye.jpg,0.067261,0.003601,3.258728,,241.257812,11.437554,0.009277,23.955324,0.330961,1.355297,961873.1875,0.001404,3.434326,3.486755,22.575922,1.0,0.0,3.076416,36.949291,0.01261,0.067261,1.092239,2.148804,14.132925,20.047445,0.01396,197.0,66.627417,0.557661,0.52,22.534074,80.0
TILA_PWM_64_eye.jpg,tilapia,unknown,dataset\tilapia\TILA_PWM_64_eye.jpg,0.147461,0.004089,3.743652,,182.21254,8.285649,0.00824,25.187969,0.333874,0.991651,960940.875,0.000183,3.236389,4.423096,19.839512,1.0,0.0,3.499939,36.949291,0.010896,0.147461,1.210301,3.989807,21.760227,15.912,0.015499,423.5,90.870057,0.644498,0.405405,19.497916,76.0
TILA_PWM_65_eye.jpg,tilapia,unknown,dataset\tilapia\TILA_PWM_65_eye.jpg,-0.057068,0.0,5.263062,,218.463135,13.393946,0.011475,33.071251,0.413115,1.54343,942140.5,0.004395,3.890625,5.739319,22.585815,1.0,0.0,4.942993,36.949291,0.01405,-0.057068,0.59064,4.868713,22.206921,1.0,0.01961,526.0,107.597979,0.570936,0.369565,22.010124,89.0
